,label,area,equivalent_diameter,mean_intensity,filename
95,109,2061,51.22642581,1334.800097,Exo70
96,110,1873,48.83418544,1020.143086,Exo70
97,112,1538,44.25203295,888.5494148,Exo70
98,114,1582,44.88056327,1489.378003,Exo70
99,115,335,20.65272978,1615.444776,Exo70
0,1,4440,75.18765576,923.9488739,Exo70
1,4,2899,60.75460016,835.2528458,Exo70
2,5,3699,68.62734933,1089.0392,Exo70
3,6,3337,65.18282259,1144.568774,Exo70
4,7,3534,67.07927065,1001.919638,Exo70
5,8,3111,62.93685902,952.4969463,Exo70
6,9,2989,61.69046117,1092.701907,Exo70
7,10,3379,65.5917405,1038.107428,Exo70
8,11,3649,68.16194759,883.1411346,Exo70
9,12,3453,66.30607927,1053.793513,Exo70
10,13,3302,64.84008773,1088.662629,Exo70
11,14,3232,64.14912477,1046.070235,Exo70
12,15,3427,66.05597566,884.7709367,Exo70
13,17,4311,74.08735167,1118.564834,Exo70
14,18,2674,58.34931484,804.683994,Exo70
15,19,4006,71.41846831,1099.058163,Exo70
16,20,3002,61.82447018,786.6072618,Exo70
17,21,2631,57.87826226,746.3394147,Exo70
18,22,3505,66.80347749,1033.298146,Exo70
19,24,2870,60.44995859,1101.448432,Exo70
20,25,3164,63.47070127,870.2847661,Exo70
21,26,3104,62.86601265,1036.288338,Exo70
22,27,3409,65.88227082,663.7820475,Exo70
23,28,2375,54.99039842,1049.252211,Exo70
24,29,2945,61.23471613,842.7989813,Exo70
25,30,2216,53.11778263,1008.358303,Exo70
26,31,3539,67.12670667,802.8245267,Exo70
27,32,2580,57.31455335,1063.314729,Exo70
28,33,3314,64.95780054,712.2450211,Exo70
29,34,2241,53.41656878,1030.563588,Exo70
30,36,4039,71.71202494,889.1250309,Exo70
31,37,2899,60.75460016,970.3980683,Exo70
32,38,2587,57.39225298,837.180518,Exo70
33,39,3165,63.48073061,825.5248025,Exo70
34,40,2457,55.9316508,1076.454619,Exo70
35,41,2478,56.17016639,813.0920097,Exo70
36,42,2685,58.46920709,859.5996276,Exo70
37,43,2546,56.93564684,615.6205813,Exo70
38,44,2543,56.90209278,635.1891467,Exo70
39,45,2770,59.38748638,799.3512635,Exo70
40,46,2486,56.26076349,971.2646822,Exo70
41,47,2580,57.31455335,787.2728682,Exo70
42,48,3562,67.34448202,937.197361,Exo70
43,49,2232,53.30919868,1082.783602,Exo70
44,50,2325,54.40847307,758.8894624,Exo70
